adresse;code_naf;code_postal;dirigeant;fonction_dirigeant;forme_juridique;nom;scraped_at;siren;url_fiche;ville
du siège 10 RUE Claude Decaen;4645Z;39007;Date de naissance;Gérant;;"OPENDATA
ARCHIVES HISTORIQUES
OBSERVATOIRE";2026-01-22T16:52:48.587315;999239007;https://data.inpi.fr/entreprises/999239007?q=#999239007;Retour aux résultats
du siège 6 RUE de Limoges;4711B;58810;Date de naissance;Gérant;SARL;SARL C;2026-01-22T16:52:58.653084;999558810;https://data.inpi.fr/entreprises/999558810?q=#999558810;Retour aux résultats
du siège 13 IMPASSE Sainte Ursule;4634Z;30220;;Président;SAS;"OPENDATA
ARCHIVES HISTORIQUES
OBSERVATOIRE";2026-01-22T16:53:08.720614;992530220;https://data.inpi.fr/entreprises/992530220?q=#992530220;Retour aux résultats
du siège 9 RUE aux Juifs;4711B;07363;;Gérant;;"GOKU MARKET
SIREN";2026-01-22T16:53:18.945339;988107363;https://data.inpi.fr/entreprises/988107363?q=#988107363;Retour aux résultats
du siège 2 RUE de la République;5610C;46970;;Président;SAS;"LBL
SIREN";2026-01-22T16:53:28.982253;999146970;https://data.inpi.fr/entreprises/999146970?q=#999146970;Retour aux résultats
du siège 77 RUE Louis Seminet;4759B;66918;;Président;SAS;L'ATELIER DES MAREES-H;2026-01-22T16:53:39.176256;999766918;https://data.inpi.fr/entreprises/999766918?q=#999766918;Retour aux résultats
du siège 56 RUE Charles de Gaulle;5610C;63430;;Président;SAS;"OPENDATA
ARCHIVES HISTORIQUES
OBSERVATOIRE";2026-01-22T16:53:49.231279;999563430;https://data.inpi.fr/entreprises/999563430?q=#999563430;Retour aux résultats
du siège 39 RUE de la Bretonnerie;4775Z;71703;Date de naissance;Gérant;;"JSK
SIREN";2026-01-22T16:53:59.292766;100071703;https://data.inpi.fr/entreprises/100071703?q=#100071703;Retour aux résultats
du siège 130 CHEMIN des Cigales;4532Z;08309;Date de naissance;Gérant;;"NDL DISTRIBUTION
SIREN";2026-01-22T16:54:09.545309;100008309;https://data.inpi.fr/entreprises/100008309?q=#100008309;Retour aux résultats
du siège 111 RUE Faidherbe;6202A;83984;Date de naissance;Gérant;;"OPENDATA
ARCHIVES HISTORIQUES
OBSERVATOIRE";2026-01-22T16:54:19.563067;999983984;https://data.inpi.fr/entreprises/999983984?q=#999983984;Retour aux résultats
du siège 12 RUE DASTE;9602A;35432;Date de naissance;Gérant;;F M;2026-01-22T16:54:29.610700;999835432;https://data.inpi.fr/entreprises/999835432?q=#999835432;Retour aux résultats
du siège 52 RUE du Point du Jour;7022Z;43481;;Président;SAS;"OPENDATA
ARCHIVES HISTORIQUES
OBSERVATOIRE";2026-01-22T16:54:39.657141;999543481;https://data.inpi.fr/entreprises/999543481?q=#999543481;Retour aux résultats
du siège 6 RUE du Moulin à Vent;8230Z;20103;Date de naissance;Gérant;;"OPENDATA
ARCHIVES HISTORIQUES
OBSERVATOIRE";2026-01-22T16:54:49.664715;999820103;https://data.inpi.fr/entreprises/999820103?q=#999820103;Retour aux résultats
du siège 13 RUE de la Commune;4751Z;58008;Date de naissance;Gérant;;"AMBIANCE MAISON
SIREN";2026-01-22T16:54:59.765116;999658008;https://data.inpi.fr/entreprises/999658008?q=#999658008;Retour aux résultats
